timestamp,n_customers,n_stations,inst_seed,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T21:35:49,20,3,420,0,76.4061,27.67,1,17,1,1
2026-05-24T21:36:14,20,3,420,1,77.3188,25.1,1,16,1,1
2026-05-24T21:36:44,20,3,420,2,76.4061,30.1,1,17,1,1
2026-05-24T21:36:57,20,3,420,3,83.0118,13.46,1,19,0,1
2026-05-24T21:37:14,20,3,420,4,76.4061,17.19,1,16,1,1
2026-05-24T21:37:32,20,3,420,5,76.0961,17.92,1,16,1,1
2026-05-24T21:37:58,20,3,420,6,76.4061,25.87,1,17,1,1
2026-05-24T21:38:15,20,3,420,7,86.4877,16.68,1,17,1,1
2026-05-24T21:38:42,20,3,420,8,78.3037,27.2,1,13,2,1
2026-05-24T21:38:56,20,3,420,9,79.0523,13.36,1,14,2,0
2026-05-24T21:39:16,20,3,420,10,78.3052,20.18,1,12,2,1
2026-05-24T21:39:45,20,3,420,11,76.4061,28.76,1,17,1,1
2026-05-24T21:40:11,20,3,420,12,76.436,26.37,1,17,1,1
2026-05-24T21:40:31,20,3,420,13,78.3052,19.95,1,14,2,1
2026-05-24T21:40:48,20,3,420,14,76.6144,16.58,1,17,1,1
2026-05-24T21:41:15,20,3,420,15,76.0961,27.32,1,16,1,1
2026-05-24T21:41:41,20,3,420,16,76.4061,26.29,1,17,1,1
2026-05-24T21:42:03,20,3,420,17,82.1407,22.27,1,14,2,0
2026-05-24T21:42:30,20,3,420,18,76.4061,26.72,1,17,1,1
2026-05-24T21:42:49,20,3,420,19,78.3037,19.21,1,14,2,1
2026-05-24T21:43:04,20,3,420,20,79.5461,14.64,1,13,1,1
2026-05-24T21:43:18,20,3,420,21,78.4282,14.3,1,14,2,1
2026-05-24T21:43:37,20,3,420,22,76.2953,18.81,1,14,1,1
2026-05-24T21:44:04,20,3,420,23,76.0396,27.04,1,15,1,1
2026-05-24T21:44:30,20,3,420,24,76.4061,25.3,1,17,1,1
2026-05-24T21:44:52,20,3,420,25,76.4598,22.1,1,16,1,1
2026-05-24T21:45:26,20,3,420,26,76.4061,33.97,1,17,1,1
2026-05-24T21:45:45,20,3,420,27,78.3037,19.36,1,14,2,1
2026-05-24T21:46:05,20,3,420,28,78.4282,20.12,1,14,2,1
2026-05-24T21:46:17,20,3,420,29,79.0523,12.16,1,13,2,0
