timestamp,n_customers,n_stations,inst_seed,beta,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T21:31:58,25,4,42,0.1,10,89.6228,18.45,1,10,5,4
2026-05-24T21:32:26,25,4,42,0.1,11,79.7785,27.94,1,13,3,4
2026-05-24T21:32:52,25,4,42,0.1,12,85.9941,26.8,1,16,2,3
2026-05-24T21:33:24,25,4,42,0.1,13,85.2939,31.62,1,10,5,3
2026-05-24T21:33:47,25,4,42,0.1,14,79.3521,22.65,1,16,2,4
2026-05-24T21:34:05,25,4,42,0.2,10,94.4009,18.36,1,9,4,3
2026-05-24T21:34:27,25,4,42,0.2,11,82.0617,22.3,1,15,3,2
2026-05-24T21:34:57,25,4,42,0.2,12,76.059,30.1,1,20,1,1
2026-05-24T21:35:30,25,4,42,0.2,13,76.2218,32.12,1,20,1,2
2026-05-24T21:35:54,25,4,42,0.2,14,84.5429,24.78,1,15,3,2
2026-05-24T21:36:22,25,4,42,0.3,10,77.1075,27.64,1,20,1,3
2026-05-24T21:36:50,25,4,42,0.3,11,77.9779,28.12,1,18,2,2
2026-05-24T21:37:11,25,4,42,0.3,12,79.0593,21.22,1,15,3,1
2026-05-24T21:37:32,25,4,42,0.3,13,81.5548,20.69,1,22,1,0
2026-05-24T21:37:54,25,4,42,0.3,14,98.5669,21.7,2,19,2,0
2026-05-24T21:38:25,25,4,42,0.5,10,75.3213,30.79,1,17,2,2
2026-05-24T21:39:02,25,4,42,0.5,11,75.3971,37.81,1,25,0,0
2026-05-24T21:39:36,25,4,42,0.5,12,76.0862,33.94,1,25,0,0
2026-05-24T21:39:58,25,4,42,0.5,13,72.9204,21.87,1,17,3,0
2026-05-24T21:40:53,25,4,42,0.5,14,73.025,55.19,1,21,1,1
2026-05-24T21:41:38,25,4,42,0.75,10,72.4328,45.01,1,20,1,2
2026-05-24T21:42:13,25,4,42,0.75,11,75.8796,34.09,1,25,0,0
2026-05-24T21:42:58,25,4,42,0.75,12,73.025,45.42,1,21,1,1
2026-05-24T21:43:33,25,4,42,0.75,13,75.8618,34.67,1,24,0,1
2026-05-24T21:44:05,25,4,42,0.75,14,71.8316,31.95,1,17,2,2
2026-05-24T21:44:57,25,4,42,1.0,10,72.4328,52.66,1,20,1,2
2026-05-24T21:45:33,25,4,42,1.0,11,75.8796,35.21,1,25,0,0
2026-05-24T21:46:09,25,4,42,1.0,12,71.847,36.05,1,21,1,1
2026-05-24T21:46:43,25,4,42,1.0,13,72.8491,34.86,1,19,2,1
2026-05-24T21:47:16,25,4,42,1.0,14,72.716,32.52,1,21,1,1
2026-05-24T21:48:11,25,4,42,1.5,10,72.4328,55.14,1,20,1,2
2026-05-24T21:48:57,25,4,42,1.5,11,71.847,45.44,1,21,1,1
2026-05-24T21:49:28,25,4,42,1.5,12,71.847,31.87,1,21,1,1
2026-05-24T21:50:07,25,4,42,1.5,13,79.649,38.01,1,22,1,0
2026-05-24T21:50:39,25,4,42,1.5,14,71.847,32.32,1,21,1,1
2026-05-24T21:51:13,25,4,42,2.0,10,71.847,33.8,1,21,1,1
2026-05-24T21:52:00,25,4,42,2.0,11,71.847,47.6,1,21,1,1
2026-05-24T21:52:40,25,4,42,2.0,12,71.847,39.63,1,21,1,1
2026-05-24T21:53:18,25,4,42,2.0,13,79.649,38.13,1,22,1,0
2026-05-24T21:53:57,25,4,42,2.0,14,71.847,38.73,1,21,1,1
2026-05-24T21:54:31,25,4,42,3.0,10,71.847,34.11,1,21,1,1
2026-05-24T21:55:19,25,4,42,3.0,11,71.847,47.82,1,21,1,1
2026-05-24T21:55:59,25,4,42,3.0,12,71.847,39.8,1,21,1,1
2026-05-24T21:56:37,25,4,42,3.0,13,79.649,38.45,1,22,1,0
2026-05-24T21:57:16,25,4,42,3.0,14,71.847,39.16,1,21,1,1
2026-05-24T21:57:48,25,4,42,5.0,10,71.847,31.47,1,21,1,1
2026-05-24T21:58:36,25,4,42,5.0,11,71.847,48.38,1,21,1,1
2026-05-24T21:59:16,25,4,42,5.0,12,71.847,40.23,1,21,1,1
2026-05-24T21:59:55,25,4,42,5.0,13,79.649,38.69,1,22,1,0
2026-05-24T22:00:35,25,4,42,5.0,14,71.847,39.54,1,21,1,1
