timestamp,n_customers,n_stations,inst_seed,beta,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T18:23:39,20,3,42,1.0,42,64.5617,22.75,1,16,1,1
2026-05-24T18:23:57,20,3,42,1.0,99,71.7081,17.85,1,15,2,0
2026-05-24T18:24:22,20,3,42,1.0,123,64.5617,25.01,1,15,1,1
2026-05-24T18:24:49,20,3,42,1.0,7,63.8495,26.46,1,16,1,1
2026-05-24T18:25:15,20,3,42,1.0,13,64.5617,26.39,1,16,1,1
2026-05-24T18:25:48,20,3,42,1.5,42,64.5617,32.8,1,16,1,1
2026-05-24T18:26:05,20,3,42,1.5,99,65.7873,17.06,1,16,1,1
2026-05-24T18:26:25,20,3,42,1.5,123,63.7528,19.91,1,16,1,1
2026-05-24T18:27:00,20,3,42,1.5,7,64.5617,34.74,1,16,1,1
2026-05-24T18:27:28,20,3,42,1.5,13,64.5028,28.77,1,17,1,0
2026-05-24T18:27:54,20,3,42,2.0,42,64.5617,25.82,1,16,1,1
2026-05-24T18:28:14,20,3,42,2.0,99,65.7873,19.2,1,16,1,1
2026-05-24T18:28:50,20,3,42,2.0,123,64.6489,36.84,1,17,1,0
2026-05-24T18:29:21,20,3,42,2.0,7,64.5028,30.74,1,17,1,0
2026-05-24T18:29:50,20,3,42,2.0,13,63.8495,28.93,1,16,1,1
2026-05-24T18:30:17,20,3,42,2.5,42,64.5617,26.45,1,16,1,1
2026-05-24T18:30:34,20,3,42,2.5,99,65.7873,17.29,1,16,1,1
2026-05-24T18:31:09,20,3,42,2.5,123,64.6489,35.11,1,17,1,0
2026-05-24T18:31:40,20,3,42,2.5,7,64.5028,31.27,1,17,1,0
2026-05-24T18:32:09,20,3,42,2.5,13,63.8495,29.07,1,16,1,1
2026-05-24T18:32:35,20,3,42,3.0,42,64.5617,25.36,1,16,1,1
2026-05-24T18:32:52,20,3,42,3.0,99,65.7873,17.46,1,16,1,1
2026-05-24T18:33:27,20,3,42,3.0,123,64.6489,34.59,1,17,1,0
2026-05-24T18:33:58,20,3,42,3.0,7,64.5028,31.23,1,17,1,0
2026-05-24T18:34:28,20,3,42,3.0,13,63.8495,29.48,1,16,1,1
2026-05-24T18:34:53,20,3,42,5.0,42,64.5617,24.96,1,16,1,1
2026-05-24T18:35:11,20,3,42,5.0,99,65.7873,18.07,1,16,1,1
2026-05-24T18:35:46,20,3,42,5.0,123,64.6489,35.19,1,17,1,0
2026-05-24T18:36:17,20,3,42,5.0,7,64.5028,31.43,1,17,1,0
2026-05-24T18:36:46,20,3,42,5.0,13,63.8495,28.62,1,16,1,1
2026-05-24T18:49:22,30,4,42,1.0,42,89.1981,69.16,1,24,2,0
2026-05-24T18:50:28,30,4,42,1.0,99,88.126,65.7,1,20,4,0
2026-05-24T18:51:37,30,4,42,1.0,123,86.3934,69.04,1,20,4,0
2026-05-24T18:52:43,30,4,42,1.0,7,88.1314,65.94,1,24,2,0
2026-05-24T18:53:32,30,4,42,1.0,13,86.1266,48.82,1,17,4,0
2026-05-24T18:54:57,30,4,42,1.5,42,86.4972,85.04,1,27,1,0
2026-05-24T18:56:10,30,4,42,1.5,99,86.9959,73.15,1,26,1,0
2026-05-24T18:57:28,30,4,42,1.5,123,86.5044,77.42,1,25,1,0
2026-05-24T18:58:17,30,4,42,1.5,7,88.1314,49.7,1,24,2,0
2026-05-24T18:58:57,30,4,42,1.5,13,85.8132,39.33,1,19,3,0
2026-05-24T19:00:23,30,4,42,2.0,42,86.4972,86.07,1,27,1,0
2026-05-24T19:02:24,30,4,42,2.0,99,86.1326,121.46,1,27,1,0
2026-05-24T19:03:46,30,4,42,2.0,123,86.5437,81.52,1,25,2,0
2026-05-24T19:04:42,30,4,42,2.0,7,88.1314,55.67,1,24,2,0
2026-05-24T19:06:06,30,4,42,2.0,13,84.9419,84.12,1,25,2,0
2026-05-24T19:07:35,30,4,42,2.5,42,86.4972,89.52,1,27,1,0
2026-05-24T19:09:36,30,4,42,2.5,99,86.1326,120.75,1,27,1,0
2026-05-24T19:10:52,30,4,42,2.5,123,86.2527,75.54,1,25,2,0
2026-05-24T19:11:44,30,4,42,2.5,7,88.1314,52.93,1,24,2,0
2026-05-24T19:12:29,30,4,42,2.5,13,84.865,44.81,1,21,3,0
2026-05-24T19:13:57,30,4,42,3.0,42,86.4972,87.2,1,27,1,0
2026-05-24T19:15:51,30,4,42,3.0,99,86.1326,114.32,1,27,1,0
2026-05-24T19:17:07,30,4,42,3.0,123,86.2527,75.74,1,25,2,0
2026-05-24T19:18:01,30,4,42,3.0,7,88.1314,54.39,1,24,2,0
2026-05-24T19:18:46,30,4,42,3.0,13,84.865,45.33,1,21,3,0
2026-05-24T19:20:14,30,4,42,5.0,42,86.4972,87.16,1,27,1,0
2026-05-24T19:22:09,30,4,42,5.0,99,86.1326,115.25,1,27,1,0
2026-05-24T19:23:26,30,4,42,5.0,123,86.2527,77.14,1,25,2,0
2026-05-24T19:24:22,30,4,42,5.0,7,88.1314,55.93,1,24,2,0
2026-05-24T19:25:08,30,4,42,5.0,13,84.865,45.5,1,21,3,0
2026-05-24T19:39:17,15,2,42,0.3,42,68.454,3.75,1,9,2,0
2026-05-24T19:39:21,15,2,42,0.3,99,68.6307,3.76,1,13,1,0
2026-05-24T19:39:26,15,2,42,0.3,123,63.9175,4.8,1,12,1,0
2026-05-24T19:39:30,15,2,42,0.3,7,65.1479,4.17,1,15,0,0
2026-05-24T19:39:34,15,2,42,0.3,13,66.6247,4.01,1,9,2,0
2026-05-24T19:39:38,15,2,42,0.5,42,65.1479,4.11,1,15,0,0
2026-05-24T19:39:42,15,2,42,0.5,99,68.9473,3.32,1,13,1,0
2026-05-24T19:39:46,15,2,42,0.5,123,66.4685,4.57,1,13,1,0
2026-05-24T19:39:52,15,2,42,0.5,7,67.0339,5.33,1,13,1,0
2026-05-24T19:39:57,15,2,42,0.5,13,66.9303,5.1,1,12,1,0
2026-05-24T19:40:02,15,2,42,0.7,42,65.1479,5.04,1,15,0,0
2026-05-24T19:40:06,15,2,42,0.7,99,65.6663,4.15,1,10,1,0
