timestamp,n_customers,n_stations,inst_seed,beta,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T20:45:40,15,2,42,0.1,0,69.4037,2.72,1,7,3,0
2026-05-24T20:45:44,15,2,42,0.1,1,67.2101,4.12,1,11,1,0
2026-05-24T20:45:49,15,2,42,0.1,2,67.0814,5.52,1,12,1,0
2026-05-24T20:45:53,15,2,42,0.1,3,74.8876,4.19,1,9,3,0
2026-05-24T20:45:57,15,2,42,0.1,4,68.5113,4.01,1,12,1,0
2026-05-24T20:46:03,15,2,42,0.1,5,73.0057,5.33,1,13,1,0
2026-05-24T20:46:07,15,2,42,0.1,6,69.7726,4.12,1,10,2,0
2026-05-24T20:46:10,15,2,42,0.1,7,67.0339,3.15,1,13,1,0
2026-05-24T20:46:14,15,2,42,0.1,8,73.0001,3.52,1,7,3,0
2026-05-24T20:46:16,15,2,42,0.1,9,75.2814,2.68,1,10,2,0
2026-05-24T20:46:21,15,2,42,0.2,0,63.8393,4.1,1,12,1,0
2026-05-24T20:46:24,15,2,42,0.2,1,67.2101,3.57,1,11,1,0
2026-05-24T20:46:28,15,2,42,0.2,2,67.0814,3.43,1,12,1,0
2026-05-24T20:46:30,15,2,42,0.2,3,64.753,2.32,1,8,1,0
2026-05-24T20:46:33,15,2,42,0.2,4,68.5113,3.21,1,12,1,0
2026-05-24T20:46:37,15,2,42,0.2,5,73.0057,3.77,1,13,1,0
2026-05-24T20:46:41,15,2,42,0.2,6,69.7726,3.99,1,10,2,0
2026-05-24T20:46:44,15,2,42,0.2,7,67.0339,3.14,1,13,1,0
2026-05-24T20:46:48,15,2,42,0.2,8,73.0001,3.61,1,7,3,0
2026-05-24T20:46:52,15,2,42,0.2,9,65.2464,4.6,1,11,1,0
2026-05-24T20:46:56,15,2,42,0.3,0,69.4546,3.7,1,10,2,0
2026-05-24T20:47:01,15,2,42,0.3,1,74.0446,4.51,1,10,2,0
