timestamp,n_customers,n_stations,inst_seed,R,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T23:10:08,25,4,42,5,10,71.847,21.86,1,21,1,1
2026-05-24T23:10:48,25,4,42,5,11,71.847,40.15,1,21,1,1
2026-05-24T23:10:56,25,4,42,5,12,73.6671,7.7,1,21,0,4
2026-05-24T23:11:17,25,4,42,5,13,91.2729,21.07,1,22,1,0
2026-05-24T23:11:32,25,4,42,5,14,72.4513,15.04,1,20,1,2
2026-05-24T23:12:04,25,4,42,10,10,71.847,32.62,1,21,1,1
2026-05-24T23:12:58,25,4,42,10,11,71.847,53.3,1,21,1,1
2026-05-24T23:13:14,25,4,42,10,12,72.4513,16.2,1,20,1,2
2026-05-24T23:13:44,25,4,42,10,13,79.8733,30.05,1,22,1,0
2026-05-24T23:14:17,25,4,42,10,14,72.4513,33.23,1,20,1,2
2026-05-24T23:15:08,25,4,42,25,10,71.847,50.49,1,21,1,1
2026-05-24T23:16:19,25,4,42,25,11,71.847,70.83,1,21,1,1
2026-05-24T23:17:18,25,4,42,25,12,71.847,59.01,1,21,1,1
2026-05-24T23:18:13,25,4,42,25,13,79.649,55.25,1,22,1,0
2026-05-24T23:19:10,25,4,42,25,14,71.847,57.24,1,21,1,1
2026-05-24T23:21:03,25,4,42,50,10,71.847,112.74,1,21,1,1
2026-05-24T23:22:34,25,4,42,50,11,71.847,91.07,1,21,1,1
2026-05-24T23:24:20,25,4,42,50,12,71.847,105.94,1,21,1,1
2026-05-24T23:25:51,25,4,42,50,13,77.4716,90.66,1,22,1,0
2026-05-24T23:28:00,25,4,42,50,14,71.847,129.11,1,21,1,1
2026-05-24T23:31:25,25,4,42,100,10,71.847,204.77,1,21,1,1
2026-05-24T23:34:57,25,4,42,100,11,71.847,212.07,1,21,1,1
2026-05-24T23:38:39,25,4,42,100,12,71.847,221.93,1,21,1,1
2026-05-24T23:41:34,25,4,42,100,13,76.0862,175.53,1,25,0,0
2026-05-24T23:45:47,25,4,42,100,14,71.847,252.45,1,21,1,1
2026-05-24T23:54:06,25,4,42,3,10,71.847,23.04,1,21,1,1
2026-05-24T23:54:30,25,4,42,3,11,75.6284,24.58,1,24,0,1
2026-05-24T23:54:35,25,4,42,3,12,73.6671,4.24,1,21,0,4
2026-05-24T23:54:51,25,4,42,3,13,91.3981,16.42,1,22,1,0
2026-05-24T23:55:05,25,4,42,3,14,72.4513,14.04,1,20,1,2
2026-05-24T23:56:24,25,4,42,17,10,71.847,37.48,1,21,1,1
2026-05-24T23:57:28,25,4,42,17,11,71.847,63.77,1,21,1,1
2026-05-24T23:58:11,25,4,42,17,12,71.847,43.26,1,21,1,1
2026-05-24T23:58:55,25,4,42,17,13,79.649,44.19,1,22,1,0
2026-05-24T23:59:38,25,4,42,17,14,71.847,42.31,1,21,1,1
