timestamp,n_customers,n_stations,config,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-26T11:34:46,25,2,default,42,425.3096,30.62,4,15,4,6
2026-05-26T11:35:12,25,2,default,99,535.6565,26.56,5,14,4,7
2026-05-26T11:35:33,25,2,default,123,487.2522,21.19,4,17,1,7
2026-05-26T11:35:59,25,2,default,345,366.0633,25.85,3,14,4,7
2026-05-26T11:36:32,25,2,default,456,362.7731,32.5,3,15,3,7
2026-05-26T11:36:51,25,2,no_drone,42,589.5165,19.06,6,18,0,7
2026-05-26T11:37:11,25,2,no_drone,99,691.6475,19.89,6,20,0,5
2026-05-26T11:37:28,25,2,no_drone,123,679.0838,17.21,7,20,0,5
2026-05-26T11:37:45,25,2,no_drone,345,657.7047,17.37,6,21,0,4
2026-05-26T11:38:04,25,2,no_drone,456,714.411,18.5,6,20,0,5
2026-05-26T11:38:25,25,2,no_robot,42,546.4457,21.01,5,21,4,0
2026-05-26T11:38:45,25,2,no_robot,99,545.5211,19.6,4,20,5,0
2026-05-26T11:39:05,25,2,no_robot,123,569.9781,20.25,5,21,4,0
2026-05-26T11:39:25,25,2,no_robot,345,668.1771,20.61,6,20,5,0
2026-05-26T11:39:45,25,2,no_robot,456,684.5368,19.16,6,22,3,0
2026-05-26T11:40:09,25,2,no_no_fly,42,366.2304,24.84,3,14,5,6
2026-05-26T11:40:38,25,2,no_no_fly,99,381.549,28.94,4,14,4,7
2026-05-26T11:41:09,25,2,no_no_fly,123,408.0554,30.29,4,15,5,5
2026-05-26T11:41:44,25,2,no_no_fly,345,407.4519,34.92,3,15,5,5
2026-05-26T11:42:15,25,2,no_no_fly,456,517.1325,31.48,4,16,2,7
2026-05-26T11:42:35,25,2,low_battery,42,510.3422,20.15,5,18,1,6
2026-05-26T11:42:56,25,2,low_battery,99,554.2256,21.09,5,17,2,6
2026-05-26T11:43:17,25,2,low_battery,123,573.8526,21.07,5,18,1,6
2026-05-26T11:43:36,25,2,low_battery,345,544.4668,18.64,5,18,1,6
2026-05-26T11:43:57,25,2,low_battery,456,529.4462,20.83,5,19,0,6
